,Unnamed: 0,title,text
67,67,1973 Sheffield City Council election,"Elections to Sheffield Council were held on 10 May 1973. The first elections to the newly created metropolitan borough council were held on 10 May 1973, with the entirety of the 90 seat council - three seats for each of the thirty wards - up for vote. The Local Government Act 1972 stipulated that the elected members were to shadow and eventually take over from the predecessor corporation on 1 April 1974. The order in which the councillors were elected dictated their term serving, with third-place candidates serving two years and up for re-election in 1975, second-placed three years expiring in 1976 and 1st-placed five years until 1978. Election result This result has the following consequences for the total number of seats on the Council after the elections: Ward results References Category:1973 English local elections 1973 Category:1970s in Sheffield"
68,68,Frederick J. Bliss,"Frederick Jones Bliss (22 January 1859-–3 June 1937) was an American archaeologist. Biography He was born in Mount Lebanon, Syria on 22 January 1859. His father, Daniel Bliss, was first a Congregational missionary and later president of the Syrian Protestant College, the future American University of Beirut. Frederick J. graduated from Amherst College (1880) and then taught at the Syrian Protestant College, thereafter attending Union Theological Seminary. After training under Flinders Petrie in Egypt, Bliss became involved with the Palestine Exploration Fund working in the field of Biblical archaeology at the site of Tell el-Hesi between 1894 and 1897, while concurrently leading an expedition that dug in Jerusalem. Between 1898 and 1900, along with R.A.S. Macalister, Bliss excavated several sites in the Shephelah region of modern Israel, helping to improve the chronology of the region. His excavation reports appeared frequently in the Quarterly Statement of the Palestine Exploration Fund, and included the first jar handle stamped by one of the Hebron LMLK seals (in 1899 simultaneously the first one with a 4-winged icon) as well as the first complete MMST inscription (in 1900). He was dismissed as the head of the Fund in 1900 due to his ill health. After the publication of his and Macalister's Excavations in Palestine in 1902, he was not active in the field. Bibliography External links Frederick J. Bliss in The Palestine Exploration Fund Category:1857 births Category:1939 deaths Category:American archaeologists Category:American expatriates in the Ottoman Empire"
69,69,Bekhudi,"Bekhudi is a 1992 Bollywood film starring Kajol, Kamal Sadanah, Ajay Mankotia, Tanuja, Vijayendra Ghatge and Kulbhushan Kharbanda. The film marked the debut of Kajol. It was also meant to be the debut of Saif Ali Khan, but after completing the first shooting schedule of the film, he was considered to be unprofessional by director Rahul Rawail and was replaced by yet another debutant Kamal Sadanah. Incidentally it was while filming Bekhudi that Khan met actress Amrita Singh, whom he married in October 1991. Bekhudi was produced by Maharukh Jokhi and Rita Rawail, and its music was composed by Nadeem-Shravan. The film did not fare well at the box office. Plot Rohit Gupta (Kamal Sadanah) is a law student and son of Justice Gupta (Kulbhushan Kharbanda). Rohit beats Rocky (Sanjeev Chitre) in a flying device model competition. Radhika (Kajol) is sister of Rocky and she joins the same college in which Rohit and Rocky are student. Rohit and Radhika meets, gets attracted to each other and eventually fall in love. When Rocky is caught cheating in annual exam, he threatens the invigilator and slaps Principal. A case is lodged against Rocky and he is convicted with 7 days jail by Justice Gupta. He is also rusticated from college. The parents (Tanuja) and (Vijayendra Ghatge) hides from Radhika about their son Rocky being jailed. Radhika's aunt (Bua) (Farida Jalal) arrives from Edmonton, Canada and tells Radhika's parents about her wish of marrying Radhika to Vicky (Ajay Mankotia) in Canada. Radhika's father says that nowadays children decide their partner. Radhika tells her Bua that she is still a minor and cannot marry Vicky. Rohit's father and Radhika's father gets to know that their children are in love and agrees to meet at a hotel for their marriage related talks. Ahead of the meeting Rocky physically assaults Justice Gupta at the entrance of the hotel. Justice Gupta returns without meeting Radhika's father. Enraged by the incident, Rohit rushes to the hotel and fights with Rocky. During the fight, Rocky falls from the hotel rooftop despite Rohit's effort to save him. Radhika's parents blames Rohit for the death of their son Rocky and decides to marry Radhika to Vicky. Radhika do not blame Rohit knowing that her brother's death was an accident. On Rohit's continual efforts to meet Radhika, her parents send Radhika to Canada to her Bua. Justice Gupta asks his son Rohit to go to Canada in search of Radhika. Rohit, on reaching Canada, is duped of his luggage by a local crook Rambo (Rajendranath). Rohit and Radhika finds each other in Canada and Radhika runs away from her Bua's house with Rohit. As 10 days were still left for Radhika to become a major (18 years age), Rohit and Radhika searches for a place to hide. Rambo, when caught by Rohit, takes them to a house claiming to be his own. On next morning Rohit and Radhika finds that Rambo has vanished and accidentally they have found shelter in Vicky's house. Vicky tells Rohit and Radhika that they can stay in this house"
70,70,Marguerite Leféron,"Marguerite Leferon, née Galart (d. after 1679), was an accused in the famous Poison Affair. She belonged to the Parisian Bourgeoisie and was the wife of judge Leferon. In 1669, she poisoned her husband with a poison sold to her by La Voisin and married her lover, De Prade. When De Prade proved to be a fortune hunter she decided to murder him as well, which was prevented by his escape. Leferon was arrested during the Poison Affair in 1679. La Voisin, on her way to execution, named her as her client. She was proven guilty, but was still only sentenced to exile from the capital and a fine of 1500 livres. The case against Marguerite Leferon and Françoise de Dreux, as well as that of Marguerite de Poulaillon, attracted attention as they were the first clients and the first members of the upper classes to be implicated in the affair. The light sentences imposed on them, despite their guilt, was considered damaging to the legitimacy of the court. This was obvious proof of class discrimination, as others accused for the same crime in the case, but of a different social class, were sentenced to execution. One example was that of Madame Philbert, who in 1673 murdered her carpenter husband Brunet by poison of Marie Bosse in order to marry her lover, Philippe Rebille Philbert: her crime was identical to that of Leferon, but she was sentenced to hang after having her right hand cut off. References Frantz Funck-Brentano: Princes and Poisoners Or Studies of the Court of Louis XIV H Noel Williams: Madame de Montespan and Louis XIV Anne Somerset - The Affair of the Poisons: Murder, Infanticide, and Satanism at the Court of Louis XIV (St. Martin's Press (October 12, 2003) ) Category:1679 crimes Category:Year of death missing Category:Year of birth missing Category:French female murderers"
71,71,939,"Year 939 (CMXXXIX) was a common year starting on Tuesday (link will display the full calendar) of the Julian calendar. Events By place Europe Hugh the Great, count of Paris, rebels against King Louis IV (""d'Outremer"") and gains support from William I, duke of Normandy. Hugh, along with Herbert II, count of Vermandois, Arnulf I, count of Flanders and William pays homage to King Otto I (ruler of the East Frankish Kingdom), and supports him in his struggle against Louis. July 19 – Battle of Simancas: Caliph Abd-al-Rahman III of Córdoba claims a Jihad ('Holy War') and raises an army of 100,000 men to end the Kingdom of León. He razes the cities of Medina del Campo, Ìscar and Alcazarén (previously abandoned by their population) and finally, reaches the city of Simancas (near modern-day Valladolid), where Christian forces under King Ramiro II wait for him. After three days, Ramiro defeats the Moorish army with an alliance of Castile and Navarre. Abd-al-Rahman orders a retreat along the Duero River, and is almost killed, due, most likely, to treason by Arab elements in the Moorish army. August 1 – Battle of Trans-la-Forêt: Bretons defeat Viking occupiers. August 5 – Battle of Alhandic: Abd-al-Rahman III defeats the garrison of those loyal to Ramiro II at Zamora, in the context of the Spanish Reconquista. October 2 – Battle of Andernach: Otto I crushes a rebellion against his rule, by a coalition of Eberhard III, duke of Franconia, and other Frankish dukes, in Andernach on the Rhine River. Otto prevails, with support from Odo of Wetterau. Eberhard is killed while Gilbert, duke of Lotharingia (or Lorraine) drowns when trying to escape. England October 27 – King Æthelstan dies at Gloucester after a 15-year reign. He is buried at Malmesbury Abbey and succeeded by his half-brother, Edmund I (""the Magnificent""). After Æthelstan's death Olaf Guthfrithson (or his cousin, Anlaf Cuaran) a Viking leader who rules Dublin, is proclaimed king of York (south of Northumbria). Asia Taira no Masakado, a Japanese nobleman, leads one of the largest insurgent forces in the Heian period against the imperial court at Kyoto. Masakado has acquired enough power to govern the Kantō region (northwest of Edo) and calls himself the 'new emperor' (shinnō). Ngô Quyền, who the previous year defeats the Chinese at the Battle of Bạch Đằng (938) thereby regaining Vietnamese independence after 1000 years, becomes king of Vietnam. By topic Religion July 13 – Pope Leo VII dies at Rome after a 3½-year reign. He is succeeded by Stephen VIII as the 127th pope of the Catholic Church. The Major Occultation (or Al-Ghaybah al-Kubra) of Muhammad al-Mahdi occurs (approximate date). Births November 20 – Tai Zong, emperor of the Song Dynasty (d. 997) Fujiwara no Takamitsu, Japanese waka poet (approximate date) Hai Gaon, Jewish theologian and rabbi (d. 1038) Hugh Capet, French king and a descendant of Charlemange (approximate date) Deaths January 21 – Yang Pu, emperor of Wu (b. 900) May 25 – Yao Yanzhang, general of Chu July 13 – Leo VII, pope of the Catholic Church August 29"
72,72,Felix Clewett,"Felix Clewett (10 March 1836 – 13 February 1913) was a member of the Queensland Legislative Council. Early life Clewett was born in Sydney, New South Wales to George Clewett and his wife Ann (née Curtis) and educated at St. James's Grammar School, Sydney. In 1867, Clewett had married Isabella Jane Cox and together they had five children. Politics Clewett was appointed to the Queensland Legislative Council in July 1890 and served for over twenty-two years till his death in February, 1913. Later life He died in 1913, and was buried in Toowong Cemetery. References External links Photo of the late Hon. F. Clewett M.L.C. — biography in the Rockhampton Morning Bulletin Category:Members of the Queensland Legislative Council Category:1836 births Category:1913 deaths Category:Burials at Toowong Cemetery"
73,73,Lists of newspapers,Below are lists of newspapers organized by continent. Africa Asia Europe North America Oceania South America
74,74,Actibacterium,Actibacterium is a bacterial genus from the family of Rhodobacteraceae. References Further reading Category:Rhodobacteraceae Category:Bacteria genera
75,75,Kiesewetter Stradivarius,"The Kiesewetter Stradivarius of circa 1723 is an antique violin fabricated by Italian luthier Antonio Stradivari of Cremona (1644–1737). The instrument derives its name from its previous owner, German composer and violinist Christophe Gottfried Kiesewetter (1777–1827). In 2006, the Stradivari Society brokered an agreement between Clement and Karen Arrison, current owners of the Kiesewetter, and a Grammy-nominated Russian violinist, Philippe Quint. Stipulated in the contract, Quint was to retain possession of the violin for one year in exchange for its US$6,000 insurance premium, the performance of three private recitals for the Arrisons, and regular inspections by The Society's curators. Its latest valuation was US$4 million. The contract was renewed for a second year in May 2007. On 20 April 2008, Quint accidentally left the Kiesewetter in the back of a taxicab in New York City. After numerous phone calls, the violin was found and returned to Quint the next day. The cabdriver, Mohamed Khalil, was presented with a medallion by the City of Newark, the highest honour awarded by the city. Since August 2010, Augustin Hadelich has been playing the Kiesewetter on extended loan from the Arrisons through The Stradivari Society. Provenance Christoph G. Kiesewetter Francis Goldschmidt Charles Fletcher of Bournemouth (ca. 1800) Gary Hart (ca. 1902) Henry Osborne Havemeyer (1905) Horace Havemeyer (1907) Rembert Wurtlitzer Inc. (1953) Dr. Jerome Gross (ca. 1960) Howard Gottlieb (1972) J. & A. Beare (1986) Clement and Karen Arrison (ca. 2000) See also Stradivarius References External links Image of the Kiesewetter, Antonio Stradivari, 1723 Stradivari Society patrons and recipients __NOTOC__ Category:1723 works Category:Stradivari violins"
76,76,Nader Shah's Sword,"Although the inscription on the blade attributes it to Fathali Shah, legend and fact has it as Nader Shah's sword or his All Conquering Sword. The sword is not visible in any of the portraits of Fathali Shah. There is, however, a mural in the Marble Room of the Golestan Palace which shows Mohammad Shah Qajar, the successor to Fathali Shah, wearing the sword while on horseback. Both sides of Nadir Shah's sword handle and hilt are covered in diamonds. The reverse side of the sword and scabbard shows a picture of the Shah on the hilt along with a few lines of verse, and the pictures of two of his sons. References Category:Middle Eastern swords Category:Individual weapons Category:Crown jewels of Iran Category:Iranian folklore"
77,77,Mexican Federal Highway 190,"Federal Highway 190 (Carretera Federal 190) is a Federal Highway of Mexico. Federal Highway 190 is split into two segments: the first segment travels from Tehuantepec, Oaxaca in the east to Puebla City, Puebla in the west. The second segment travels from La Ventosa, Juchitán de Zaragoza Municipality, Oaxaca in the west eastward to Ciudad Cuauhtémoc, Chiapas. Fed. Highway 190's eastern segment ends at a Guatemala-Mexico border crossing at Ciudad Cuauhtémoc. The Pan-American Highway route in southern Mexico continues into Guatemala as Central American Highway 1 (CA-1). References 190"
78,78,2020 Duquesne Dukes football team,The 2020 Duquesne Dukes football team will represent Duquesne University in the 2020 NCAA Division I FCS football season. They will be led by 16th-year head coach Jerry Schmitt and play their home games at Arthur J. Rooney Athletic Field. They play as a member of the Northeast Conference. Schedule References Duquesne Category:Duquesne Dukes football seasons Duquesne Football
79,79,USS Gendreau (DE-639),"USS Gendreau (DE-639) was a in the United States Navy. She was commissioned on 17 March 1944 and decommissioned on 13 March 1948. She served throughout the Pacific during World War II. Canadian-born Captain Elphege A. M. Gendreau (1888–1943) served as Force Surgeon of Battle Force and on the staff of Admiral Chester Nimitz, Commander in Chief, Pacific Fleet. Admiral Nimitz recommended that a ship be named in honor of the surgeon for his dedicated service, after Capt. Gendreau was killed in a dive-bombing attack while on board USS LST-343 in the South Pacific 21 July 1943. Gendreau was laid down on 1 August 1943 by Bethlehem Shipbuilding Co., San Francisco; launched on 12 December 1943, sponsored by Mrs. Josephine Gendreau, widow of Captain E. A. M. Gendreau, with Mrs. Chester W. Nimitz, wife of the Commander in Chief of Pacific Fleet, as matron of honor. Gendreau was commissioned on 17 March 1944, with Lieutenant Commander A. D. Kilmartin in command. Service history Convoy escort After shakedown off the California coast, Gendreau departed San Francisco, California, on 23 May 1944 escorting a convoy to Pearl Harbor, arriving six days later. She trained in Hawaiian waters and got underway on 18 June 1944 on the first of two voyages, escorting convoys between Hawaii and the Marshalls. Convoy duty brought her to Eniwetok again and on 26 July 1944. Gendreau returned to Oahu from the second voyage in time to help welcome President Franklin D. Roosevelt to Hawaii. During an ensuing anti-submarine patrol out of Pearl Harbor, the destroyer escort rescued the pilot and crew of an aircraft which had ditched at sea on 31 July 1944; and nine days later in heavy seas saved a downed fighter pilot. Gendreau departed Pearl Harbor on 8 September 1944, with a convoy for Emirau. On 13 September 1944, she collided with escort carrier while fueling from her in heavy seas; but efficient emergency repairs allowed Gendreau to proceed with the convoy to Emirau before steaming into Manus on 19 September 1944 for repairs. She sailed from the Admiralties on 1 October 1944 and arrived at Port Purvis on Florida Island, in the Solomons, on 4 October 1944. Following intensive training with PT boats at Tulagi, she sailed on 27 October 1944 for the Russell Islands and rendezvoused with a convoy of landing craft bound for New Georgia Island. Departing on 29 October 1944, the group proceeded to Cape Torokina, Bougainville, where the landing craft debarked troops. Gendreau escorted the landing craft back to the Russells on 1 November 1944, and returned to Port Purvis the next day. From 17 February through 20 February 1945, Gendreau was in dry dock, being repaired by its seamen and members of the repair ship . Lieutenant Martin Victor became captain of Gendreau at this time. In March 1945, following three months of escort and ASW duty shuttling between islands of the South Pacific, Gendreau rehearsed for the coming Okinawa invasion after which she escorted landing craft to the Russell Islands and Port Purvis, arriving at Port Purvis on 7 March"
80,80,German conjugation,"German verbs are conjugated depending on their use: as in English, they are modified depending on the persons (identity) and number of the subject of a sentence, as well as depending on the tense and mood. The citation form of German verbs is the infinitive form, which generally consists of the bare form of the verb with -(e)n added to the end. To conjugate regular verbs, this is removed and replaced with alternative endings: Radical: mach- To do; machen I do; ich mache He does; er macht I did; ich machte He did; er machte In general, irregular forms of German verbs exist to make for easier and clearer pronunciation, with a vowel sound in the centre of the word the only part of the word that changes in an unexpected way (though endings may also be slightly different). This modification is often a moving of the vowel sound to one pronounced further forward in the mouth. This process is called the Germanic umlaut. However, a number of verbs including sein (to be) are fully irregular, as in English I am and I was sound completely different. To know; wissen Radical: wiss- wuss- I know; ich weiß or weiss (vowel change; -e missing) (irregular) I knew; ich wusste (vowel change; otherwise regular) To sing; singen I sing; ich singe (regular) I sang; ich sang (vowel change; -te missing) For many German tenses, the verb itself is locked in a non-varying form of the infinitive or past participle (which normally starts with ge-) that is the same regardless of the subject, and then joined to an auxiliary verb that is conjugated. This is similar to English grammar, though the primary verb is normally placed at the end of the clause. Note that in both the examples shown below the auxiliary verb is irregular. I buy the book; Ich kaufe das Buch. I will buy the book; Ich werde das Buch kaufen. She will buy the book; Sie wird das Buch kaufen. I have bought the book; Ich habe das Buch gekauft. She has bought the book; Sie hat das Buch gekauft. The following tenses and modi are formed by direct conjugation of the verb: Present – Präsens Imperfect – Imperfekt or Präteritum Imperative – Imperativ Perfect – Perfekt (past participle, does not vary by subject) Conditional I and II – Konjunktiv Below is a paradigm of German verbs, that is, a set of conjugation tables, for the model regular verbs and for some of the most common irregular verbs, including the irregular auxiliary verbs. German tenses and moods German verbs have forms for a range of subjects, indicating number and social status: First-person singular: 'I'; ich Second-person familiar: 'you' (as used to a friend); du Second-person familiar: 'you' (as used to a friend); Du (possible form in letters, traditionally used for all kinds of addresses) Third person: 'he', 'she', 'it'; (er, sie, es) with the same form for all three First-person plural: 'we'; wir Second-person plural: ihr Second-person polite: 'you'; Sie (which is always capitalised) Third-person plural: 'they'; sie (not capitalised) The subject"
81,81,Kasturi Rangappa Nayaka Fort,"The Kasturi Rangappa Nayaka Fort in Sira in Tumkur district of Karnataka is named after the Nayaka ruler Kasturi Rangappa Nayaka, who had ruled over Sira in the early 17th century as a palegar under the Vijayanagar Empire. After their rule, the fort and the Province of Sira came under the control of several rulers. Restoration works have been carried out by the Archaeology Department of Karnataka. Location The Nayaka Fort is located in the Sira town in Tumkur district of Karnataka. It is located on the NH-4 (Pune – Chennai) and NH-234 (Mangalore – Villupuram). It is from Bengaluru. History History of building the fort is traced to the early 17th century when Nayakas (Kasturi Rangappa Nayaka) ruled over Sira as a fiefdom under the Vijayanagara Empire. He laid the foundation for the Sira town and the fort. The site was selected as auspicious on the basis of a good omen of a hare chasing the hound, a common legend of the times in the building of many forts in India. The foundation of Sira is also based upon this legend. Before the fort was completed, Sira and its fiefdoms were captured by an army sent by the Bijapuri general Randullah Khan. A force led by his subordinate Afzal Khan defeated and killed and the Sira chief Kasturi Rangappa Nayaka. Malik Husen, who was the then made the governor, completed the construction of the fort and also built a mud wall enclosing the town. Sira, according to a time line, was under the reign of Vijayanagara Empire (1638 to 1687), the Adil Shahi of Bijapur Sultanate, the Mughal Empire (1687 to 1757) and Maratha (1757 to 1759 and 1766, the Wadeyars (1799 to 1947) and the British Raj (until 1947). Features The fort, made of stone and bricks, is spread over an area of and has many historic monuments which need to be conserved. The fort was enclosed by a moat and a well-made glacis also formed part of the fortifications. Restoration The restoration works undertaken on the fort by the Archaeological Department of Karnataka, particularly of the ramparts and other works made of stone and bricks were carried out initially with the use of bulldozers. The brick and masonry work were destroyed irretrievably and gun positions had been closed. According to the INTACH expert, international procedures and guidelines prescribed in ASI manuals prescribed for such restoration works had not been followed. However, the local Archaeology Conservation Engineer defending his work said the brick layer (1.5 inches thick) removed was too thin to be retrieved and not available in the market and that the outer layer would be restored with older bricks and the original openings of placement of gun and canons would be restored fully including repair of parapet walls. Following the objections, use of heavy machinery for restoration was stopped. Another issue which was affecting the fort was widening of the National Highway 234. This was resolved by the Government of India by keeping a safe margin of between the fort boundary and the highway. References Category:Forts in Karnataka"
82,82,Hocking Hills,"The Hocking Hills is a deeply dissected area of the Allegheny Plateau in Ohio, primarily in Hocking County, that features cliffs, gorges, rock shelters, and waterfalls. The relatively extreme topography in this area is due to the Blackhand Sandstone (so named because of Native American graphics on the formation near Newark, Ohio), a particular formation that is thick, hard and weather-resistant, and so forms high cliffs and narrow, deep gorges. Component open-space areas Most of the more scenic areas of the region are under state ownership, including: Hocking Hills State Park (with five use areas: Ash Cave, Cedar Falls, Old Man's Cave, Rockhouse, and Cantwell Cliffs) Hocking State Forest Conkle's Hollow State Nature Preserve Sheick Hollow State Nature Preserve (entry by permit only) Little Rocky Hollow State Nature Preserve (entry by permit only) Kessler Swamp State Nature Preserve Lake Logan State Park Wayne National Forest Rockbridge State Nature Preserve The core area also includes two privately owned preserves, Crane Hollow and Camp Oty-Okwa (owned by Big Brothers and Big Sisters of Central Ohio). The geological series that forms the Hocking Hills extends south and west, gradually diminishing but still forming impressive bluffs and gorges in: Clear Creek Metro Park, part of the Columbus and Franklin County Metropolitan Park District Rising Park in Lancaster Wahkeena Memorial State Nature Preserve in Fairfield County Christmas Rocks State Nature Preserve in Fairfield County Rhododendron Cove State Nature Preserve in Fairfield County Shallenberger State Nature Preserve in Fairfield County Saltpetre Cave State Nature Preserve in Hocking County Boch Hollow State Nature Preserve (exposure is along the westernmost edge only) in Hocking County Lake Katharine State Nature Preserve in Jackson County Blackhand Gorge State Nature Preserve in Licking County Liberty Wildlife Area in Jackson County The Buckeye Trail, along with the North Country Trail and the American Discovery Trail, passes through the Hocking Hills region. Also nearby are: Lake Hope State Park Zaleski State Forest Camp Wyandot Tar Hollow State Park Tar Hollow State Forest Camp Akita (UCC church camp) Climate The region has mild weather with an average rainfall of 40.3 inches per year and an average of about 175 sunny days per year. The average July high is 84.8 degrees Fahrenheit and the average January low is 19.3 degrees Fahrenheit. History The region was first settled by Christian Eby and was named from a shortened version of the Hockhocking River by the Shawnee Indian tribe. ""Hockhocking"", in the Delaware tongue, signifies a bottle. The Shawnee people thought that a very narrow and straight creek above the waterfall on the Hockhocking River resembled a bottle's neck. Other notable settlers were George Starkey and Moses Dolson. The first election on county matters was held in Eby's mill near Queer Creek. The first post office in the area was called the ""Rockhouse"" and was located in Herschel Badford's home. Hocking County formation Hocking County was formed on March 1, 1818, from Ross, Athens, Fairfield and Logan. The county's boundaries and townships have not been altered since 1851. Due to its natural surroundings, it has become a tourist attraction. Outdoor"
83,83,We Shall Overcome (disambiguation),"""We Shall Overcome"" is a protest song of the Civil Rights Movement. We Shall Overcome may also refer to: We Shall Overcome (Pete Seeger album), an album by Pete Seeger We Shall Overcome (Bernie Sanders album), an album by Bernie Sanders We Shall Overcome: The Seeger Sessions, a studio album by Bruce Springsteen We Shall Overcome: Sacred Song On The Devil's Tongue, a book by Isaias Gamboa about the history of the song ""We Shall Overcome"" We Shall Overcome (Danish: Drømmen), a 2006 Danish film"
84,84,Stefano Cusumano,"Nuccio Cusumano (born Stefano Cusumano; October 16, 1948) is an Italian politician whose most recent political appointment was to the Italian Senate (April 26, 2006 – April 28, 2008) on the roster of the UDEUR party as one of thirty representatives for the Campania constituency. Born in Sciacca (Sicily), he holds a law degree and has worked as an entrepreneur and as a journalist. In the course of his political career, he has held several government positions, including that of Undersecretary of State for the Treasury (then headed by Carlo Azeglio Ciampi) during the premiership of Massimo D'Alema, between 1998 and 1999. In 1994, as a member of the Italian People's Party (PPI), he helped then-Prime Minister Silvio Berlusconi survive a vote of confidence. He was one of four PPI senators who, against the instructions of their party, physically left the Senate room, rendering the house without a quorum. In 1999, while a junior Treasury Minister, he was arrested under allegations of corruption in relation to construction contracts for a hospital in Sicily. In 2007, the court in Catania exonerated him completely. On 24 January 2008, in the 2008 Italian political crisis, Cusumano supported Prime Minister Romano Prodi in a confidence vote, again against the instructions of his party, UDEUR. Another UDEUR senator, Tommaso Barbato, launched into a vicious verbal attack and had to be restrained from physically attacking Cusumano, who appeared to faint and was carried out of the house. Expelled from UDEUR because of his decision, he joined the Democratic Party. As a candidate in the April 2008 elections, he was not re-elected. References External links Personal page on Italian Senate website Category:1948 births Category:Living people Category:People from Sciacca Category:Presidents of the Province of Agrigento Category:Christian Democracy (Italy) politicians Category:20th-century Italian politicians Category:Italian People's Party (1994) politicians Category:Union of Democrats for Europe politicians Category:Democratic Party (Italy) politicians Category:21st-century Italian politicians Category:Senators of Legislature XI of Italy Category:Senators of Legislature XII of Italy Category:Deputies of Legislature XIV of Italy Category:Senators of Legislature XV of Italy Category:Italian journalists Category:Italian male journalists"
85,85,Platydema ellipticum,Platydema ellipticum is a species of darkling beetle in the family Tenebrionidae. References Further reading External links Category:Tenebrionidae Category:Beetles described in 1798
86,86,F.A.M.E. (song),"""F.A.M.E."" (abbreviation for Fake Ass Motherfuckers Envy) is a song by American hip hop recording artist Young Jeezy, released on October 11, 2011, as the third single from his fourth studio album Thug Motivation 103: Hustlerz Ambition (2011). The song features fellow Atlanta-based rapper T.I. and was produced by production team J.U.S.T.I.C.E. League, who sampled ""Air for Life"" as performed by Above & Beyond with Andy Moor as well as ""You and Love are the Same"" as performed by The Grass Roots. Music video On November 16, 2011, behind-the-scenes footage of the music video was released. The music video, directed by Lance Drake, was released on November 18, 2011. Charts Release history References Category:2011 singles Category:T.I. songs Category:Young Jeezy songs Category:Songs written by T.I. Category:Songs written by Jeezy Category:Song recordings produced by J.U.S.T.I.C.E. League Category:Songs written by Erik Ortiz Category:Songs written by Kevin Crowe"
87,87,Swinging Atwood's machine,"The swinging Atwood's machine (SAM) is a mechanism that resembles a simple Atwood's machine except that one of the masses is allowed to swing in a two-dimensional plane, producing a dynamical system that is chaotic for some system parameters and initial conditions. Specifically, it comprises two masses (the pendulum, mass and counterweight, mass ) connected by an inextensible, massless string suspended on two frictionless pulleys of zero radius such that the pendulum can swing freely around its pulley without colliding with the counterweight. The conventional Atwood's machine allows only ""runaway"" solutions (i.e. either the pendulum or counterweight eventually collides with its pulley), except for . However, the swinging Atwood's machine with has a large parameter space of conditions that lead to a variety of motions that can be classified as terminating or non-terminating, periodic, quasiperiodic or chaotic, bounded or unbounded, singular or non-singular due to the pendulum's reactive centrifugal force counteracting the counterweight's weight. Research on the SAM started as part of a 1982 senior thesis entitled Smiles and Teardrops (referring to the shape of some trajectories of the system) by Nicholas Tufillaro at Reed College, directed by David J. Griffiths. Equations of motion The swinging Atwood's machine is a system with two degrees of freedom. We may derive its equations of motion using either Hamiltonian mechanics or Lagrangian mechanics. Let the swinging mass be and the non-swinging mass be . The kinetic energy of the system, , is: where is the distance of the swinging mass to its pivot, and is the angle of the swinging mass relative to pointing straight downwards. The potential energy is solely due to the acceleration due to gravity: We may then write down the Lagrangian, , and the Hamiltonian, of the system: We can then express the Hamiltonian in terms of the canonical momenta, , : Lagrange analysis can be applied to obtain two second-order coupled ordinary differential equations in and . First, the equation: And the equation: We simplify the equations by defining the mass ratio . The above then becomes: Hamiltonian analysis may also be applied to determine four first order ODEs in terms of , and their corresponding canonical momenta and : Notice that in both of these derivations, if one sets and angular velocity to zero, the resulting special case is the regular non-swinging Atwood machine: The swinging Atwood's machine has a four-dimensional phase space defined by , and their corresponding canonical momenta and . However, due to energy conservation, the phase space is constrained to three dimensions. System with massive pulleys If the pulleys in the system are taken to have moment of inertia and radius , the Hamiltonian of the SAM is then: Where t is the effective total mass of the system, This reduces to the version above when and become zero. The equations of motion are now: where . Integrability Hamiltonian systems can be classified as integrable and nonintegrable. SAM is integrable when the mass ratio . The system also looks pretty regular for , but the case is the only known integrable mass ratio. It has"
88,88,Helia (moth),"Helia is a genus of moths in the family Erebidae. The genus was erected by Jacob Hübner in 1818. Species Helia agna (Druce, 1890) Helia albibasalis (Schaus, 1914) Helia argentipes (Walker, 1869) (syn: Helia digna (Felder and Rogenhofer, 1874)) Helia bilunulalis (Walker, 1865) (syn: Helia yrias (Felder and Rogenhofer, 1874)) Helia calligramma Hübner, 1818 (syn: Helia albirena (Walker, 1865), Helia amoena (Walker, 1865), Helia subnigra (Schaus, 1912)) Helia carbonalis Guenée, 1854 Helia celita (Schaus, 1912) Helia compacta (Felder and Rogenhofer, 1874) Helia cymansis Hampson, 1924 Helia dentata (Walker, 1865) Helia erebea (Schaus, 1914) Helia exsiccata (Walker, 1858) (syn: Helia aezica (Druce, 1890), Helia caliginosa (Walker, 1865)) Helia extranea (Walker, 1865) (syn: Helia dives (Walker, 1865), Helia frontalis (Walker, 1865)) Helia hermelina (Guenée, 1852) (syn: Helia anguinea (Felder and Rogenhofer, 1874), Helia cruciata (Guenée, 1852), Helia diversa (Walker, 1865)) Helia homopteridia (Schaus, 1912) Helia lampetia Druce, 1890 Helia mollealis (Walker, 1858) (syn: Helia discalis (Walker, 1862)) Helia serralis Mabille, 1880 Helia subjuga (Dognin, 1912) Helia vitriluna (Guenée, 1852) References Category:Omopterini Category:Moth genera"
89,89,Heard County School District,"The Heard County School District is a public school district in Heard County, Georgia, United States, based in Franklin. It serves the communities of Centralhatchee, Corinth, Ephesus, Franklin, Glenn, and Houston. Schools The Heard County School District has three elementary schools, one middle school, and one high school. Elementary schools Centralhatchee Elementary School Ephesus Elementary School Heard Elementary School Middle school Heard County Middle School High school Heard County High School References External links Heard County School District Category:School districts in Georgia (U.S. state) Category:Education in Heard County, Georgia"
